_id,name,bic,isin,kurz,min,max,Negativní scénář (růstová míra %),Neutrální scénář (růstová míra %),Pozitivní scénář (růstová míra %)
65d74ebd108ec9dc4eb3d602,"JTPEG C.F. 0,00/27",BDAJTPCR,CZ0003539892,79.3,70.7,79.3,1.87,7.64,10.98
65d74ebd108ec9dc4eb3d603,"JTRE FIN.3 0,00/24",BDAJTRFI,CZ0003520793,93.01,84.01,94,-2.11,3.39,8.27
65d74ebd108ec9dc4eb3d604,"CSG 8,00/2028",BDHCZEGR,CZ0003550808,108.98,100,112.8,-3.08,4.96,10.39
65d74ebd108ec9dc4eb3d605,UNIQA INSURANCE AG,BAAUQA,AT0000821103,196.2,174.3,196.2,2.37,6.3,9.94
65d74ebd108ec9dc4eb3d606,"SAVARIN 0,00/26",BDASAVAR,CZ0000001300,82.05,75.3,83,-0.2,5.71,9.06
65d74ebd108ec9dc4eb3d607,J&T BK II 9% PERP,BDBPODBA,CZ0003704413,104.6,95,104.9,-0.37,4.3,8.86
65d74ebd108ec9dc4eb3d608,"J&T BK 6,50% PERP",BDFPODBA,CZ0003706517,89.1,84,92.88,-5.09,1.56,7.42
65d74ebd108ec9dc4eb3d609,WAG PAYMENT,BAAWPS,GB00BLGXWY71,27.2,25,27.4,-1.75,2.62,7.98
65d74ebd108ec9dc4eb3d60a,"ROHLIK FIN.10,0/26",BDBROHCZ,CZ0003529943,106,98,106.05,-0.76,4.06,8.88
65d74ebd108ec9dc4eb3d60b,TOMA,BAATOMA,CZ0005088559,1390,1290,1410,-2.52,3.02,9.28
65d74ebd108ec9dc4eb3d60c,"MONETA MB 8,00/26",BDKGECBA,CZ0003707671,106,101,109,-2.53,0.42,2.61
65d74ebd108ec9dc4eb3d60d,"J&T FG 7,5% PERP",BDBJTFIN,CZ0003527657,97.45,91,97.5,0.15,3.58,5.98
65d74ebd108ec9dc4eb3d60e,"PALE F. F. 5,75/26",BDAPALFI,CZ0003534596,97,89,97,-2.29,4.29,10.58
65d74ebd108ec9dc4eb3d60f,"JTFG X 4,75/24",BDAJTGLR,CZ0003520447,98.4,92,98.4,2.33,4.74,4.15
65d74ebd108ec9dc4eb3d610,"EPH 4,50/25",BDDEPHFI,CZ0003524464,96.85,91.5,97.5,-1.35,2,3.84
